shopName,spuName,categoryName,originPrice,praiseNum,saleVolume,sellStatus,boxFee,currentPrice,minPurchaseNum,realStock,spuPromotionInfo,skuListCount,categoryCount,categoryListCount,spuId,mtWmPoiId
"凉皮先生（东四店）","麻酱凉皮","热销",12,878,5258,0,1,12,-1,9992624,,1,10,13,98319729,1002498
"凉皮先生（东四店）","肉夹馍","热销",9,538,3880,0,0,9,-1,9984546,,1,10,13,102510799,1002498
"凉皮先生（东四店）","酸辣凉皮","热销",12,420,2416,0,1,12,-1,9990123,,1,10,13,98320241,1002498
"凉皮先生（东四店）","茶叶蛋","热销",3,174,1744,0,0,3,-1,-1,,1,10,13,128661813,1002498
"凉皮先生（东四店）","牛筋面","热销",14,317,1765,0,1,14,-1,7702,,1,10,13,105173756,1002498
"凉皮先生（东四店）","香酥饼","热销",4,136,1560,0,0,4,-1,-1,,1,10,13,156436325,1002498
"凉皮先生（东四店）","凉面","热销",13,169,1014,0,1,13,-1,8897,,1,10,13,105178589,1002498
"凉皮先生（东四店）","红豆薏米粥","热销",8,175,802,0,1,8,-1,9995895,,1,10,13,98320669,1002498
"凉皮先生（东四店）","烤红薯","热销",8,74,613,0,0,8,-1,-1,,1,10,13,154969334,1002498
"凉皮先生（东四店）","麻酱凉皮+秘制酸奶+鸡肉卷","热销",28,51,608,1,0,0,0,0,7折 每单限1份,0,10,13,154367138,1002498
"凉皮先生（东四店）","酸辣凉皮+秘制酸奶+菠萝金蜜瓜","招牌凉皮类",29,5,89,0,1,29,-1,9999905,,1,7,13,255160788,1002498
"凉皮先生（东四店）","麻酱凉皮+秘制酸奶+西瓜哈密瓜","招牌凉皮类",29,5,143,0,1,29,-1,9999851,,1,7,13,255159984,1002498
"凉皮先生（东四店）","麻酱凉皮","招牌凉皮类",12,878,5258,0,1,12,-1,9992624,,1,7,13,98319729,1002498
"凉皮先生（东四店）","孜然凉皮","招牌凉皮类",12,35,138,0,1,12,-1,8888162,,1,7,13,98494624,1002498
"凉皮先生（东四店）","酸辣凉皮","招牌凉皮类",12,420,2416,0,1,12,-1,9990123,,1,7,13,98320241,1002498
"凉皮先生（东四店）","凉面","招牌凉皮类",13,169,1014,0,1,13,-1,8897,,1,7,13,105178589,1002498
"凉皮先生（东四店）","牛筋面","招牌凉皮类",14,317,1765,0,1,14,-1,7702,,1,7,13,105173756,1002498
"凉皮先生（东四店）","手工西红柿鸡蛋面","特色美食秘制面类",18,19,132,0,1,18,-1,9999664,,1,4,13,210362024,1002498
"凉皮先生（东四店）","鸡蛋炸酱面","特色美食秘制面类",18,9,133,0,1,18,-1,-1,,1,4,13,156635164,1002498
"凉皮先生（东四店）","麻辣香锅面","特色美食秘制面类",18,114,338,0,1,18,-1,7156,,1,4,13,105361105,1002498
"凉皮先生（东四店）","一品焖面","特色美食秘制面类",18,74,321,0,1,18,-1,8232,,1,4,13,98324453,1002498
"凉皮先生（东四店）","红枣山药粥","营养粥类",8,40,435,0,1,8,-1,9999075,,1,3,13,211882683,1002498
"凉皮先生（东四店）","红豆薏米粥","营养粥类",8,175,802,0,1,8,-1,9995895,,1,3,13,98320669,1002498
"凉皮先生（东四店）","皮蛋瘦肉粥","营养粥类",8,111,463,0,1,8,-1,9999391,,1,3,13,97609369,1002498
"凉皮先生（东四店）","烤鸭腿","风味小吃",10,4,62,0,1,10,-1,9999926,,1,14,13,274142607,1002498
"凉皮先生（东四店）","卤鸡腿（整腿）","风味小吃",15,1,34,0,1,15,-1,9999961,,1,14,13,273769406,1002498
"凉皮先生（东四店）","台湾风味烤肠（猪肉）","风味小吃",4,0,151,0,0,4,-1,9999815,,1,14,13,273768608,1002498
