mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
503585,1722,48,51,5,25,true,false,0,false,何贤记（中关村店）
1801093,2815,47,30,5,20,true,false,0,true,金百万美食MALL（北大直隶会馆店）
898191,148,46,30,6,20,true,false,0,true,泰合院（万泉河路店）
901232,2110,45,47,3,20,false,false,0,false,西门烤翅家常菜
442148,31,44,50,0,0,false,false,0,false,安安佳美蛋糕店
2334921,2234,47,30,5,20,true,false,0,true,港式铁板炒饭（中关村店）
441652,1569,45,32,2,0,false,false,0,false,小碗菜
55478,2991,47,32,5,20,true,false,0,true,七八冷面
2412135,44,49,32,3,15,true,false,1,false,凉皮先生（中关村创业大街店）
843228,1395,49,30,5,20,true,false,0,true,米有理由（中关村店）
436287,5408,45,32,2,20,true,false,0,false,小厨小菜（中关村店）
206716,2353,46,30,2,0,false,false,0,false,杨铭宇黄焖鸡米饭
2367824,583,46,35,4,0,false,false,1,false,三品家新派快餐（中关村店）
1330896,3208,47,34,2,20,false,false,0,false,老镇筋饼
2329672,2608,48,33,3,15,false,false,0,false,牛肉范儿（中关村店）
805083,3245,48,33,2,20,true,false,0,false,二十五块半（中关村店）
2386343,116,47,30,3,20,true,false,1,false,我呀便当（北京大恒科技店）
1484099,2132,47,31,2,0,false,false,0,false,张姐烤肉饭脆皮鸡饭（苏州街店）
1877509,2858,48,33,6,20,true,false,0,true,人人湘湖南米粉（新中关店）
215588,2023,47,42,5,20,false,false,0,false,衢州餐厅（黄焖鸡＋湘味小炒）
188602,3541,46,30,5,20,false,false,0,true,一品生煎
1230828,2828,48,32,5,20,true,false,0,true,小恒水饺(苏州街店)
658595,4017,45,30,2,0,false,false,0,false,云南过桥米线
786481,942,48,30,2,0,false,false,0,false,湘味浓木桶饭
623524,1923,46,47,4,20,false,false,0,false,大杜满腹
805905,10519,48,43,5,0,false,false,0,false,张姐烤肉脆皮鸡饭
608347,1464,47,31,2,20,false,false,0,false,香肠公主（中关村店）
775056,2550,48,31,3,20,true,false,0,false,加饭PlusFun（小龙虾饭）
290492,2929,49,33,2,0,false,false,0,false,原骨时代
1186677,1695,48,33,2,0,false,false,0,false,原味觉醒
2282632,1330,46,34,3,0,false,false,0,false,江小鱼儿酸菜鱼
162982,1389,45,32,2,0,false,false,0,false,湘味木桶饭&煲仔饭
47335,525,48,30,3,20,true,false,0,false,朵宜秘制排骨饭
144873,1947,46,30,3,15,true,false,0,false,焦耳川式快餐（中关村店）
381803,4742,47,30,5,20,true,false,0,true,秦门(北大店)
2211749,1712,46,33,3,20,true,false,0,false,HaveFun！有饭（中关村店）
267247,3654,40,31,3,15,true,false,0,false,田老师红烧肉（中关村图书大厦店）
1203501,4029,47,33,2,0,false,false,0,false,七盒饭（财智店）
495,1949,47,30,7,30,true,false,0,true,宏状元(苏州街店)
2051798,2196,47,34,3,15,false,false,0,false,凯哥猪脚饭
1123742,1921,48,33,5,20,true,false,0,true,米有理由（五道口店）
1923253,537,47,33,3,0,false,false,0,false,小胖仔饭团（中关村店）
725481,1800,46,34,3,0,true,false,0,false,小厨小菜（五道口店）
863856,1571,47,33,2,0,false,false,0,false,慕食（中关村店）
765377,2376,47,32,2,0,false,false,0,false,FitBuddy健康伙伴
963388,3325,48,31,3,15,true,false,0,false,南城香（中关村）
1938268,1774,48,30,5,20,true,false,0,true,来一焗（中关村店）
164141,1850,47,42,9,50,true,false,0,false,合利屋（中关村店）
482,792,48,32,7,30,true,false,0,true,宏状元(海淀路店)
459019,736,46,42,3,0,true,false,0,false,小暖便当（中关村二店）
170199,4013,48,33,5,25,true,false,0,true,水平有限柳州螺蛳粉
2002904,1513,48,40,6,20,true,false,0,true,米斯特比萨(中关村店）
830828,392,48,31,5,20,true,false,0,true,沙拉与明治（中关村旗舰店）
1075612,1086,48,30,6,20,true,false,0,true,西部马华牛肉面（海淀桥餐厅）
761839,2142,46,34,4,15,false,false,0,false,沈阳小吃老崔麻辣拌
348859,6338,47,30,4,0,true,false,0,false,亚米荟盐酥鸡（人大西门店）
647914,406,47,30,6,20,true,false,0,true,醉唐轩(苏州街店)
2021578,172,47,31,2,20,true,false,0,false,乙味屋（中关村店）
584671,3494,49,32,5,20,true,false,0,true,西少爷肉夹馍（五道口旗舰店）
97940,1116,48,50,7,20,true,false,0,false,和合谷(海淀区中关村南路店)
418117,1635,47,36,4,20,true,false,0,false,宇宙卷饼(宇宙卷饼（五道口店）)
661601,518,46,30,5,20,true,false,0,true,优粮生活(中关村5店)
1378245,456,47,39,7,50,false,false,0,false,宸源黄焖鸡
843578,645,46,30,5,20,false,false,0,true,渝香源家常菜
723892,2157,46,33,6,20,true,false,0,true,金渝川菜（中关村店）
2302967,661,45,40,3,0,false,false,0,false,天天易家（餐饮专卖）
2054450,1756,46,32,3,0,false,false,0,false,咖喱鸡排饭
665419,1039,48,33,3,15,true,false,0,false,麦多馅饼五道口店
637320,1383,48,42,7,20,true,false,0,true,麻辣诱惑（新中关店）
650103,502,48,38,6,20,true,false,0,true,将太无二(北京欧美汇餐厅)
1762808,330,48,30,5,20,true,false,0,true,茶花妹子云南餐厅（畅春园店）
722950,1609,47,33,3,15,true,false,0,false,优粮生活(五道口店)
1672978,629,48,33,3,0,false,false,0,false,慕食（五道口店）
1482141,3157,47,37,4,0,true,false,0,false,小火慢炖排骨米饭（中关村店）
