name,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,mtWmPoiId
果腿儿鲜果切,6831,48,60,20,30,true,false,0,false,164948
老婆很芒,5209,47,68,15,0,true,false,0,false,943862
果腿儿鲜果切,3868,48,61,15,20,true,false,0,false,1081706
河风精致寿司,2485,49,88,59,158,true,false,0,false,1406703
麻辣村.麻辣香锅烤鱼,2367,47,59,7,0,false,false,0,false,224027
辣私房（小龙虾海鲜外卖）,2318,47,83,45,0,false,false,0,false,202314
美味可口蛋糕,2314,48,107,0,0,true,false,0,false,530685
夹克的虾（小龙虾外卖）,1892,48,77,30,98,true,false,0,false,179160
绿萝卜蛋糕坊,1689,50,79,0,0,true,false,0,false,1990197
奔跑吧麻辣香锅(烤鱼),1552,48,52,7,100,false,false,0,false,430751
世纪华联超市（蓝堡店）,1240,48,51,75,0,false,false,0,false,864922
爱吾快餐,1240,44,54,45,120,false,false,0,false,880771
小贤家榴莲蛋糕（亚运村店）,1187,48,77,10,0,true,false,0,false,439474
村上一屋日料寿司（双井店）,1092,46,93,56,150,true,false,0,false,1864149
蛙蛙叫干锅年代（总店）,1075,46,81,60,0,true,false,0,false,514776
村上一屋日料寿司（棕榈泉店）,1041,45,68,56,20,true,false,0,false,1552416
昨昔雨参鸡汤,1035,48,75,45,200,false,false,0,false,1682163
欣丹鲜果,1026,48,55,25,128,false,false,0,false,1604607
杨国福麻辣烫（香山店）,996,46,30,6,25,true,false,0,true,852357
绿萝卜蛋糕坊（酒仙桥店）,988,50,102,0,0,true,false,0,false,1990130
哈哈镜（陶然亭店）,968,48,42,38,0,true,false,0,false,377129
老马食府（娘娘府）,946,46,35,3,25,false,false,0,false,768952
双流老妈兔头,878,47,85,80,100,true,false,0,false,1836830
极速汉堡,6079,48,33,26,0,false,false,0,false,12721
村上一屋日料寿司,1879,47,80,56,150,true,false,0,false,1145657
榴莲千层盒子,1423,48,73,9,0,false,false,0,false,1432545
果缤纷鲜果切,1211,47,47,20,80,false,false,0,false,2253656
非常虾（小龙虾外卖）,1051,47,94,30,50,false,false,0,false,515612
7cake榴莲千层蛋糕,2146,48,101,20,50,true,false,0,false,1170023
淘汰郎小火锅（北京店）,1378,48,68,15,0,true,false,0,false,153173
英伦时光炸鸡,1100,47,61,47,0,false,false,0,false,2269599
花果园（水果切）,2120,47,51,30,0,false,false,0,false,1391957
味多美（蛋糕店）,1856,46,142,10,0,true,false,0,false,156761
亚美超市（哈哈镜vip店）,1772,48,40,25,88,false,false,0,false,1079151
麦堡王（中关村店）,1686,45,51,13,25,true,false,0,false,1633087
北京麦当劳西苑餐厅,1259,47,41,9,0,true,false,0,false,560147
榴芒来啦千层蛋糕,1898,46,54,8,300,false,false,0,false,661517
比萨家族（上地店）,1439,45,51,8,129,true,false,0,false,149355
水果切,2277,48,51,8,0,false,false,0,false,795020
何贤记（中关村店）,1973,47,51,12,25,true,false,0,false,503585
凉皮达人（中关村店）,1576,45,38,7,15,false,false,0,false,2256912
小厨小菜（中关村店）,6166,45,36,3,20,true,false,0,false,436287
秦门(北大店),5473,47,30,6,20,true,false,0,true,381803
牛肉范儿（中关村店）,3852,48,38,4,15,false,false,0,false,2329672
田妈妈的味道（日月飞）,3391,46,37,2,0,false,false,0,false,627271
杨铭宇黄焖鸡米饭,2894,46,33,2,0,false,false,0,false,206716
张姐烤肉饭脆皮鸡饭（苏州街店）,2871,47,37,3,0,false,false,0,false,1484099
焦耳川式快餐（中关村店）,2445,45,35,3,15,true,false,0,false,144873
西门烤翅家常菜,2445,47,47,10,35,false,false,0,false,901232
三顾堂（中关村店）,2396,45,39,6,15,false,false,0,false,786499
大杜满腹,2261,46,47,4,20,false,false,0,false,623524
小碗菜,2199,46,38,2,0,false,false,0,false,441652
原味觉醒,2069,48,38,2,0,false,false,0,false,1186677
江小鱼儿酸菜鱼,1950,46,38,4,0,false,false,0,false,2282632
邂逅冒菜,5234,44,42,4,0,false,false,0,false,1403008
云南过桥米线,4895,46,39,2,0,false,false,0,false,658595
十八碗菜蒸香,4220,44,35,2,15,false,false,0,false,689434
原骨时代,3756,48,36,2,0,false,false,0,false,290492
小米粒粥铺（中关村店）,3695,44,36,4,0,false,false,0,false,784820
小火慢炖排骨米饭（中关村店）,3531,46,41,5,0,true,false,0,false,1482141
金百万美食MALL（北大直隶会馆店）,3169,47,30,5,20,true,false,0,true,1801093
FitBuddy健康伙伴,2975,46,36,2,0,false,false,0,false,765377
royaltea皇茶（御品贡茶）,2843,47,38,7,50,true,false,0,false,1073802
凉皮先生（五道口1店）,5405,48,42,5,25,true,false,0,false,1353564
老镇筋饼,3841,47,37,2,20,false,false,0,false,1330896
四云奶盖贡茶（漾漾好）五道口店,3337,48,39,4,0,true,false,0,false,489029
螺蛳粉先生（中关村店）,3158,46,41,3,0,false,false,0,false,1754593
永和大王（成府路店BJ021）,2829,47,39,6,20,true,false,0,true,1736711
汉堡谷,2394,47,39,6,0,false,false,0,false,725393
